/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(219.2269, device='cuda:0', grad_fn=<MeanBackward1>) 11100
tensor(783.2656, device='cuda:0', grad_fn=<MeanBackward1>) 11200
tensor(1205.9910, device='cuda:0', grad_fn=<MeanBackward1>) 11300
tensor(550.6793, device='cuda:0', grad_fn=<MeanBackward1>) 11400
tensor(494.0574, device='cuda:0', grad_fn=<MeanBackward1>) 11500
tensor(658.5434, device='cuda:0', grad_fn=<MeanBackward1>) 11600
tensor(2106.6799, device='cuda:0', grad_fn=<MeanBackward1>) 11700
tensor(395.6211, device='cuda:0', grad_fn=<MeanBackward1>) 11800
tensor(619.5309, device='cuda:0', grad_fn=<MeanBackward1>) 11900
tensor(447.1645, device='cuda:0', grad_fn=<MeanBackward1>) 12000
tensor(869.2736, device='cuda:0', grad_fn=<MeanBackward1>) 12100
tensor(595.9760, device='cuda:0', grad_fn=<MeanBackward1>) 12200
tensor(833.3695, device='cuda:0', grad_fn=<MeanBackward1>) 12300
tensor(2154.8689, device='cuda:0', grad_fn=<MeanBackward1>) 12400
tensor(481.3625, device='cuda:0', grad_fn=<MeanBackward1>) 12500
tensor(324.5575, device='cuda:0', grad_fn=<MeanBackward1>) 12600
tensor(555.9225, device='cuda:0', grad_fn=<MeanBackward1>) 12700
tensor(490.7768, device='cuda:0', grad_fn=<MeanBackward1>) 12800
tensor(1223.6351, device='cuda:0', grad_fn=<MeanBackward1>) 12900
tensor(233.3885, device='cuda:0', grad_fn=<MeanBackward1>) 13000
tensor(632.9297, device='cuda:0', grad_fn=<MeanBackward1>) 13100
tensor(344.5970, device='cuda:0', grad_fn=<MeanBackward1>) 13200
tensor(473.4856, device='cuda:0', grad_fn=<MeanBackward1>) 13300
tensor(635.8105, device='cuda:0', grad_fn=<MeanBackward1>) 13400
tensor(870.8539, device='cuda:0', grad_fn=<MeanBackward1>) 13500
tensor(1012.0846, device='cuda:0', grad_fn=<MeanBackward1>) 13600
tensor(246.7986, device='cuda:0', grad_fn=<MeanBackward1>) 13700
tensor(604.8561, device='cuda:0', grad_fn=<MeanBackward1>) 13800
tensor(312.6901, device='cuda:0', grad_fn=<MeanBackward1>) 13900
tensor(337.9577, device='cuda:0', grad_fn=<MeanBackward1>) 14000
tensor(289.2729, device='cuda:0', grad_fn=<MeanBackward1>) 14100
tensor(987.4127, device='cuda:0', grad_fn=<MeanBackward1>) 14200
tensor(449.7845, device='cuda:0', grad_fn=<MeanBackward1>) 14300
tensor(574.4853, device='cuda:0', grad_fn=<MeanBackward1>) 14400
tensor(2448.6238, device='cuda:0', grad_fn=<MeanBackward1>) 14500
tensor(429.5842, device='cuda:0', grad_fn=<MeanBackward1>) 14600
tensor(243.9051, device='cuda:0', grad_fn=<MeanBackward1>) 14700
tensor(551.9102, device='cuda:0', grad_fn=<MeanBackward1>) 14800
tensor(372.4171, device='cuda:0', grad_fn=<MeanBackward1>) 14900
tensor(1390.2551, device='cuda:0', grad_fn=<MeanBackward1>) 15000
tensor(541.8286, device='cuda:0', grad_fn=<MeanBackward1>) 15100
tensor(458.1292, device='cuda:0', grad_fn=<MeanBackward1>) 15200
tensor(1321.6995, device='cuda:0', grad_fn=<MeanBackward1>) 15300
tensor(1773.4907, device='cuda:0', grad_fn=<MeanBackward1>) 15400
tensor(343.2965, device='cuda:0', grad_fn=<MeanBackward1>) 15500
tensor(517.7726, device='cuda:0', grad_fn=<MeanBackward1>) 15600
tensor(593.5709, device='cuda:0', grad_fn=<MeanBackward1>) 15700
