/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
tensor(1151.0242, device='cuda:0', grad_fn=<MeanBackward1>) 14200
tensor(299.1515, device='cuda:0', grad_fn=<MeanBackward1>) 14300
tensor(556.8527, device='cuda:0', grad_fn=<MeanBackward1>) 14400
tensor(470.6257, device='cuda:0', grad_fn=<MeanBackward1>) 14500
tensor(565.3086, device='cuda:0', grad_fn=<MeanBackward1>) 14600
tensor(865.4495, device='cuda:0', grad_fn=<MeanBackward1>) 14700
tensor(485.8134, device='cuda:0', grad_fn=<MeanBackward1>) 14800
tensor(545.5050, device='cuda:0', grad_fn=<MeanBackward1>) 14900
tensor(406.7354, device='cuda:0', grad_fn=<MeanBackward1>) 15000
tensor(377.9667, device='cuda:0', grad_fn=<MeanBackward1>) 15100
tensor(466.5342, device='cuda:0', grad_fn=<MeanBackward1>) 15200
tensor(1714.6133, device='cuda:0', grad_fn=<MeanBackward1>) 15300
tensor(386.4115, device='cuda:0', grad_fn=<MeanBackward1>) 15400
tensor(562.1214, device='cuda:0', grad_fn=<MeanBackward1>) 15500
tensor(389.3177, device='cuda:0', grad_fn=<MeanBackward1>) 15600
tensor(717.9835, device='cuda:0', grad_fn=<MeanBackward1>) 15700
tensor(571.7866, device='cuda:0', grad_fn=<MeanBackward1>) 15800
tensor(469.0810, device='cuda:0', grad_fn=<MeanBackward1>) 15900
tensor(523.4570, device='cuda:0', grad_fn=<MeanBackward1>) 16000
tensor(294.1165, device='cuda:0', grad_fn=<MeanBackward1>) 16100
tensor(377.4428, device='cuda:0', grad_fn=<MeanBackward1>) 16200
tensor(586.2777, device='cuda:0', grad_fn=<MeanBackward1>) 16300
tensor(530.7875, device='cuda:0', grad_fn=<MeanBackward1>) 16400
tensor(599.5361, device='cuda:0', grad_fn=<MeanBackward1>) 16500
tensor(447.9374, device='cuda:0', grad_fn=<MeanBackward1>) 16600
tensor(915.8585, device='cuda:0', grad_fn=<MeanBackward1>) 16700
tensor(638.7037, device='cuda:0', grad_fn=<MeanBackward1>) 16800
tensor(732.6538, device='cuda:0', grad_fn=<MeanBackward1>) 16900
tensor(248.8646, device='cuda:0', grad_fn=<MeanBackward1>) 17000
tensor(571.3433, device='cuda:0', grad_fn=<MeanBackward1>) 17100
tensor(392.1066, device='cuda:0', grad_fn=<MeanBackward1>) 17200
tensor(540.6575, device='cuda:0', grad_fn=<MeanBackward1>) 17300
tensor(373.5851, device='cuda:0', grad_fn=<MeanBackward1>) 17400
tensor(312.9023, device='cuda:0', grad_fn=<MeanBackward1>) 17500
tensor(1160.1687, device='cuda:0', grad_fn=<MeanBackward1>) 17600
tensor(626.5511, device='cuda:0', grad_fn=<MeanBackward1>) 17700
tensor(354.9614, device='cuda:0', grad_fn=<MeanBackward1>) 17800
tensor(636.0031, device='cuda:0', grad_fn=<MeanBackward1>) 17900
tensor(921.3955, device='cuda:0', grad_fn=<MeanBackward1>) 18000
tensor(1092.9185, device='cuda:0', grad_fn=<MeanBackward1>) 18100
tensor(713.3265, device='cuda:0', grad_fn=<MeanBackward1>) 18200
tensor(275.7926, device='cuda:0', grad_fn=<MeanBackward1>) 18300
tensor(598.5748, device='cuda:0', grad_fn=<MeanBackward1>) 18400
tensor(364.6819, device='cuda:0', grad_fn=<MeanBackward1>) 18500
tensor(1065.7675, device='cuda:0', grad_fn=<MeanBackward1>) 18600
tensor(1100.8997, device='cuda:0', grad_fn=<MeanBackward1>) 18700
tensor(383.6990, device='cuda:0', grad_fn=<MeanBackward1>) 18800
tensor(335.2182, device='cuda:0', grad_fn=<MeanBackward1>) 18900
tensor(298.6593, device='cuda:0', grad_fn=<MeanBackward1>) 19000
tensor(8092.0254, device='cuda:0', grad_fn=<MeanBackward1>) 19100
tensor(340.8501, device='cuda:0', grad_fn=<MeanBackward1>) 19200
tensor(349.7263, device='cuda:0', grad_fn=<MeanBackward1>) 19300
tensor(380.5220, device='cuda:0', grad_fn=<MeanBackward1>) 19400
tensor(3636.7734, device='cuda:0', grad_fn=<MeanBackward1>) 19500
tensor(492.9843, device='cuda:0', grad_fn=<MeanBackward1>) 19600
tensor(250.3106, device='cuda:0', grad_fn=<MeanBackward1>) 19700
tensor(422.8286, device='cuda:0', grad_fn=<MeanBackward1>) 19800
tensor(314.6783, device='cuda:0', grad_fn=<MeanBackward1>) 19900
tensor(416.7552, device='cuda:0', grad_fn=<MeanBackward1>) 20000
tensor(422.9423, device='cuda:0', grad_fn=<MeanBackward1>) 20100
tensor(460.9622, device='cuda:0', grad_fn=<MeanBackward1>) 20200
tensor(740.0098, device='cuda:0', grad_fn=<MeanBackward1>) 20300
tensor(809.3225, device='cuda:0', grad_fn=<MeanBackward1>) 20400
tensor(496.0415, device='cuda:0', grad_fn=<MeanBackward1>) 20500
tensor(217.0628, device='cuda:0', grad_fn=<MeanBackward1>) 20600
tensor(456.8655, device='cuda:0', grad_fn=<MeanBackward1>) 20700
tensor(452.7944, device='cuda:0', grad_fn=<MeanBackward1>) 20800
tensor(534.1530, device='cuda:0', grad_fn=<MeanBackward1>) 20900
tensor(355.7365, device='cuda:0', grad_fn=<MeanBackward1>) 21000
tensor(404.7350, device='cuda:0', grad_fn=<MeanBackward1>) 21100
tensor(278.8857, device='cuda:0', grad_fn=<MeanBackward1>) 21200
tensor(651.1090, device='cuda:0', grad_fn=<MeanBackward1>) 21300
tensor(969.6488, device='cuda:0', grad_fn=<MeanBackward1>) 21400
tensor(380.1096, device='cuda:0', grad_fn=<MeanBackward1>) 21500
tensor(617.4178, device='cuda:0', grad_fn=<MeanBackward1>) 21600
tensor(552.7375, device='cuda:0', grad_fn=<MeanBackward1>) 21700
tensor(554.4279, device='cuda:0', grad_fn=<MeanBackward1>) 21800
tensor(1040.0793, device='cuda:0', grad_fn=<MeanBackward1>) 21900
tensor(395.3790, device='cuda:0', grad_fn=<MeanBackward1>) 22000
